Tue Oct 20 00:09:21 CEST 2020 - SAVE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=3, booleanOferta=true, ordenOferta=2, precioSinOferta=1.5, precioConOferta=0.0, fecha=2020-10-20 00:09:21.83, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:30 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=6, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:34 CEST 2020 - DELETE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=true, ordenOferta=3, precioSinOferta=2.5, precioConOferta=0.0, fecha=2020-10-20 00:13:05.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:34 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=9, booleanOferta=true, ordenOferta=3, precioSinOferta=2.0, precioConOferta=0.0, fecha=2020-10-20 00:16:25.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:34 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=11, booleanOferta=true, ordenOferta=4, precioSinOferta=30.0, precioConOferta=0.0, fecha=2020-10-20 00:16:53.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:34 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=5, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:38 CEST 2020 - DELETE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=11, booleanOferta=true, ordenOferta=4, precioSinOferta=30.0, precioConOferta=0.0, fecha=2020-10-20 00:16:53.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:38 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=4, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:41 CEST 2020 - DELETE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=4, booleanOferta=true, ordenOferta=2, precioSinOferta=2.0, precioConOferta=0.0, fecha=2020-10-20 00:10:09.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:41 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=9, booleanOferta=true, ordenOferta=2, precioSinOferta=2.0, precioConOferta=0.0, fecha=2020-10-20 00:16:25.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:41 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=3, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:44 CEST 2020 - DELETE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=9, booleanOferta=true, ordenOferta=2, precioSinOferta=2.0, precioConOferta=0.0, fecha=2020-10-20 00:16:25.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:44 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=2, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:07 CEST 2020 - SAVE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=1, booleanOferta=true, ordenOferta=3, precioSinOferta=0.0, precioConOferta=0.0, fecha=2020-10-20 00:21:07.941, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:15 CEST 2020 - SAVE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=2, booleanOferta=true, ordenOferta=4, precioSinOferta=0.0, precioConOferta=5.0, fecha=2020-10-20 00:21:15.756, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:21 CEST 2020 - DELETE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=1, booleanOferta=true, ordenOferta=3, precioSinOferta=0.0, precioConOferta=0.0, fecha=2020-10-20 00:21:07.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:21 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=2, booleanOferta=true, ordenOferta=3, precioSinOferta=0.0, precioConOferta=5.0, fecha=2020-10-20 00:21:15.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:23 CEST 2020 - DELETE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=2, booleanOferta=true, ordenOferta=3, precioSinOferta=0.0, precioConOferta=5.0, fecha=2020-10-20 00:21:15.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:27 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=0, precioSinOferta=12.0, precioConOferta=10.5, fecha=2020-10-19 23:54:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:27 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=3, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:27 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=2, precioSinOferta=12.0, precioConOferta=10.5, fecha=2020-10-19 23:54:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:33 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=0, precioSinOferta=12.0, precioConOferta=10.5, fecha=2020-10-19 23:54:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:33 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=4, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:33 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=3, precioSinOferta=12.0, precioConOferta=10.5, fecha=2020-10-19 23:54:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:39 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=0, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:39 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=2, precioSinOferta=12.0, precioConOferta=10.5, fecha=2020-10-19 23:54:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:39 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=1, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:55 CEST 2020 - SAVE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=4, booleanOferta=true, ordenOferta=3, precioSinOferta=2.0, precioConOferta=1.6, fecha=2020-10-20 00:21:55.351, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:59 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=0, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:59 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=4, booleanOferta=true, ordenOferta=4, precioSinOferta=2.0, precioConOferta=1.6, fecha=2020-10-20 00:21:55.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:21:59 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=3, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:24:36 CEST 2020 - SAVE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=5, precioSinOferta=12.5, precioConOferta=11.0, fecha=2020-10-20 00:24:36.226, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:24:40 CEST 2020 - SAVE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=true, ordenOferta=6, precioSinOferta=2.5, precioConOferta=2.0, fecha=2020-10-20 00:24:40.459, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:24:43 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=0, precioSinOferta=12.5, precioConOferta=11.0, fecha=2020-10-20 00:24:36.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:24:43 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=2, precioSinOferta=12.0, precioConOferta=10.5, fecha=2020-10-19 23:54:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:24:43 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=3, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:24:43 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=4, booleanOferta=true, ordenOferta=4, precioSinOferta=2.0, precioConOferta=1.6, fecha=2020-10-20 00:21:55.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:24:43 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=true, ordenOferta=5, precioSinOferta=2.5, precioConOferta=2.0, fecha=2020-10-20 00:24:40.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:24:43 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=1, precioSinOferta=12.5, precioConOferta=11.0, fecha=2020-10-20 00:24:36.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:24:57 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=0, precioSinOferta=12.0, precioConOferta=10.5, fecha=2020-10-19 23:54:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:24:57 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=4, booleanOferta=true, ordenOferta=5, precioSinOferta=2.0, precioConOferta=1.6, fecha=2020-10-20 00:21:55.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:24:57 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=true, ordenOferta=6, precioSinOferta=2.5, precioConOferta=2.0, fecha=2020-10-20 00:24:40.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:24:57 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=4, precioSinOferta=12.0, precioConOferta=10.5, fecha=2020-10-19 23:54:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:36:36 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=0, precioSinOferta=12.0, precioConOferta=10.5, fecha=2020-10-19 23:54:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:36:36 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=1, precioSinOferta=12.5, precioConOferta=11.0, fecha=2020-10-20 00:24:36.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:36:36 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=2, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:36:36 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=4, booleanOferta=true, ordenOferta=4, precioSinOferta=2.0, precioConOferta=1.6, fecha=2020-10-20 00:21:55.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:36:36 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=true, ordenOferta=5, precioSinOferta=2.5, precioConOferta=2.0, fecha=2020-10-20 00:24:40.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:36:36 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=3, precioSinOferta=12.0, precioConOferta=10.5, fecha=2020-10-19 23:54:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:36:50 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=0, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:36:50 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=1, precioSinOferta=12.5, precioConOferta=11.0, fecha=2020-10-20 00:24:36.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:36:50 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=2, precioSinOferta=12.0, precioConOferta=10.5, fecha=2020-10-19 23:54:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:36:50 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=4, booleanOferta=true, ordenOferta=3, precioSinOferta=2.0, precioConOferta=1.6, fecha=2020-10-20 00:21:55.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:36:50 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=true, ordenOferta=5, precioSinOferta=2.5, precioConOferta=2.0, fecha=2020-10-20 00:24:40.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:36:50 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=4, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:07 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=0, precioSinOferta=12.5, precioConOferta=11.0, fecha=2020-10-20 00:24:36.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:07 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=1, precioSinOferta=12.0, precioConOferta=10.5, fecha=2020-10-19 23:54:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:07 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=4, booleanOferta=true, ordenOferta=2, precioSinOferta=2.0, precioConOferta=1.6, fecha=2020-10-20 00:21:55.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:07 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=4, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:07 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=true, ordenOferta=5, precioSinOferta=2.5, precioConOferta=2.0, fecha=2020-10-20 00:24:40.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:07 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=3, precioSinOferta=12.5, precioConOferta=11.0, fecha=2020-10-20 00:24:36.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:20 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=true, ordenOferta=0, precioSinOferta=2.5, precioConOferta=2.0, fecha=2020-10-20 00:24:40.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:20 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=2, precioSinOferta=12.0, precioConOferta=10.5, fecha=2020-10-19 23:54:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:20 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=4, booleanOferta=true, ordenOferta=3, precioSinOferta=2.0, precioConOferta=1.6, fecha=2020-10-20 00:21:55.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:20 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=4, precioSinOferta=12.5, precioConOferta=11.0, fecha=2020-10-20 00:24:36.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:20 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=5, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:20 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=true, ordenOferta=1, precioSinOferta=2.5, precioConOferta=2.0, fecha=2020-10-20 00:24:40.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:28 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=4, booleanOferta=true, ordenOferta=0, precioSinOferta=2.0, precioConOferta=1.6, fecha=2020-10-20 00:21:55.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:28 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=true, ordenOferta=2, precioSinOferta=2.5, precioConOferta=2.0, fecha=2020-10-20 00:24:40.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:28 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=3, precioSinOferta=12.0, precioConOferta=10.5, fecha=2020-10-19 23:54:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:28 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=4, precioSinOferta=12.5, precioConOferta=11.0, fecha=2020-10-20 00:24:36.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:28 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=5, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:37:28 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=4, booleanOferta=true, ordenOferta=1, precioSinOferta=2.0, precioConOferta=1.6, fecha=2020-10-20 00:21:55.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
