Fri Nov 06 19:39:48 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=5, booleanOferta=true, ordenOferta=2, precioSinOferta=157.0, precioConOferta=140.0, fecha=2020-11-05 23:37:33.0, booleanPopular=true, ordenPopular=6, booleanNovedades=false, ordenNovedades=0, idCam=0]
Fri Nov 06 19:46:28 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=false, ordenOferta=6, precioSinOferta=0.0, precioConOferta=0.1, fecha=2020-10-25 00:34:21.0, booleanPopular=true, ordenPopular=4, booleanNovedades=true, ordenNovedades=2, idCam=1]
Fri Nov 06 19:46:28 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=14, booleanOferta=true, ordenOferta=7, precioSinOferta=4.0, precioConOferta=3.2, fecha=2020-10-25 00:27:32.0, booleanPopular=false, ordenPopular=0, booleanNovedades=true, ordenNovedades=3, idCam=0]
Fri Nov 06 19:46:28 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=6, booleanOferta=true, ordenOferta=5, precioSinOferta=45.0, precioConOferta=40.0, fecha=2020-10-22 17:51:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=true, ordenNovedades=4, idCam=0]
Fri Nov 06 19:46:28 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=1, precioSinOferta=12.5, precioConOferta=10.0, fecha=2020-11-05 23:30:55.0, booleanPopular=true, ordenPopular=2, booleanNovedades=true, ordenNovedades=5, idCam=0]
Fri Nov 06 19:46:28 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=11, booleanOferta=false, ordenOferta=3, precioSinOferta=30.0, precioConOferta=24.0, fecha=2020-10-22 17:52:11.0, booleanPopular=false, ordenPopular=3, booleanNovedades=true, ordenNovedades=6, idCam=2]
Fri Nov 06 19:46:28 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=3, precioSinOferta=12.0, precioConOferta=10.0, fecha=2020-10-25 00:27:25.0, booleanPopular=true, ordenPopular=3, booleanNovedades=true, ordenNovedades=1, idCam=0]
Fri Nov 06 19:46:33 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=5, booleanOferta=true, ordenOferta=2, precioSinOferta=157.0, precioConOferta=140.0, fecha=2020-11-05 23:37:33.0, booleanPopular=true, ordenPopular=1, booleanNovedades=true, ordenNovedades=7, idCam=0]
Fri Nov 06 19:46:36 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=5, booleanOferta=true, ordenOferta=2, precioSinOferta=157.0, precioConOferta=140.0, fecha=2020-11-05 23:37:33.0, booleanPopular=true, ordenPopular=1, booleanNovedades=true, ordenNovedades=0, idCam=0]
Fri Nov 06 19:46:36 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=3, precioSinOferta=12.0, precioConOferta=10.0, fecha=2020-10-25 00:27:25.0, booleanPopular=true, ordenPopular=3, booleanNovedades=true, ordenNovedades=1, idCam=0]
Fri Nov 06 19:46:36 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=false, ordenOferta=6, precioSinOferta=0.0, precioConOferta=0.1, fecha=2020-10-25 00:34:21.0, booleanPopular=true, ordenPopular=4, booleanNovedades=true, ordenNovedades=3, idCam=1]
Fri Nov 06 19:46:36 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=14, booleanOferta=true, ordenOferta=7, precioSinOferta=4.0, precioConOferta=3.2, fecha=2020-10-25 00:27:32.0, booleanPopular=false, ordenPopular=0, booleanNovedades=true, ordenNovedades=4, idCam=0]
Fri Nov 06 19:46:36 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=6, booleanOferta=true, ordenOferta=5, precioSinOferta=45.0, precioConOferta=40.0, fecha=2020-10-22 17:51:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=true, ordenNovedades=5, idCam=0]
Fri Nov 06 19:46:36 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=1, precioSinOferta=12.5, precioConOferta=10.0, fecha=2020-11-05 23:30:55.0, booleanPopular=true, ordenPopular=2, booleanNovedades=true, ordenNovedades=6, idCam=0]
Fri Nov 06 19:46:36 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=11, booleanOferta=false, ordenOferta=3, precioSinOferta=30.0, precioConOferta=24.0, fecha=2020-10-22 17:52:11.0, booleanPopular=false, ordenPopular=3, booleanNovedades=true, ordenNovedades=7, idCam=2]
Fri Nov 06 19:46:36 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=5, booleanOferta=true, ordenOferta=2, precioSinOferta=157.0, precioConOferta=140.0, fecha=2020-11-05 23:37:33.0, booleanPopular=true, ordenPopular=1, booleanNovedades=true, ordenNovedades=2, idCam=0]
Fri Nov 06 19:46:41 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=1, precioSinOferta=12.5, precioConOferta=10.0, fecha=2020-11-05 23:30:55.0, booleanPopular=true, ordenPopular=2, booleanNovedades=true, ordenNovedades=0, idCam=0]
Fri Nov 06 19:46:41 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=3, precioSinOferta=12.0, precioConOferta=10.0, fecha=2020-10-25 00:27:25.0, booleanPopular=true, ordenPopular=3, booleanNovedades=true, ordenNovedades=1, idCam=0]
Fri Nov 06 19:46:41 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=5, booleanOferta=true, ordenOferta=2, precioSinOferta=157.0, precioConOferta=140.0, fecha=2020-11-05 23:37:33.0, booleanPopular=true, ordenPopular=1, booleanNovedades=true, ordenNovedades=2, idCam=0]
Fri Nov 06 19:46:41 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=false, ordenOferta=6, precioSinOferta=0.0, precioConOferta=0.1, fecha=2020-10-25 00:34:21.0, booleanPopular=true, ordenPopular=4, booleanNovedades=true, ordenNovedades=4, idCam=1]
Fri Nov 06 19:46:41 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=14, booleanOferta=true, ordenOferta=7, precioSinOferta=4.0, precioConOferta=3.2, fecha=2020-10-25 00:27:32.0, booleanPopular=false, ordenPopular=0, booleanNovedades=true, ordenNovedades=5, idCam=0]
Fri Nov 06 19:46:41 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=6, booleanOferta=true, ordenOferta=5, precioSinOferta=45.0, precioConOferta=40.0, fecha=2020-10-22 17:51:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=true, ordenNovedades=6, idCam=0]
Fri Nov 06 19:46:41 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=11, booleanOferta=false, ordenOferta=3, precioSinOferta=30.0, precioConOferta=24.0, fecha=2020-10-22 17:52:11.0, booleanPopular=false, ordenPopular=3, booleanNovedades=true, ordenNovedades=7, idCam=2]
Fri Nov 06 19:46:41 CET 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=1, precioSinOferta=12.5, precioConOferta=10.0, fecha=2020-11-05 23:30:55.0, booleanPopular=true, ordenPopular=2, booleanNovedades=true, ordenNovedades=3, idCam=0]
